stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
21007,,Barallobre,,43.462899,-8.188586,,,,,Europe/Madrid,2
21009,,Neda,,43.495351,-8.160967,,,,,Europe/Madrid,2
31308,,LalÃ­n,,42.63253,-8.142715,,,,,Europe/Madrid,2
31306,,O Irixo,,42.519719,-8.105174,,,,,Europe/Madrid,2
31304,,O CarballiÃ±o,,42.43134,-8.068874,,,,,Europe/Madrid,2
31303,,A Friela-Maside,,42.411401,-8.028967,,,,,Europe/Madrid,2
51401,,Puerto Real,,36.5309155,-6.1853143,,,,,Europe/Madrid,1
51205,,Aeropuerto de Jerez,,36.7515886,-6.0659384,,,,,Europe/Madrid,2
51203,,Lebrija,,36.9116378,-6.0948487,,,,,Europe/Madrid,1
51200,,Utrera,,37.1848178,-5.7907537,,,,,Europe/Madrid,1
51103,,Dos Hermanas,,37.2872259,-5.9235322,,,,,Europe/Madrid,2
51100,,San Bernardo,,37.3777778,-5.9796142,,,,,Europe/Madrid,1
51110,,Virgen del RocÃ­o,,37.3628091,-5.9760105,,,,,Europe/Madrid,1
3100,,JaÃ©n,,37.779827,-3.790798,,,,,Europe/Madrid,1
50504,,Posadas,,37.803986,-5.106325,,,,,Europe/Madrid,2
50506,,Palma del RÃ­o,,37.718081,-5.29276,,,,,Europe/Madrid,2
50507,,PeÃ±aflor,,37.707502,-5.341609,,,,,Europe/Madrid,2
50600,,Lora del RÃ­o,,37.6613212,-5.5295514,,,,,Europe/Madrid,2
51202,,Las Cabezas de San Juan,,37.0194897,-5.94658,,,,,Europe/Madrid,2
51409,,CÃ¡diz-Estadio,,36.5029461,-6.2720644,,,,,Europe/Madrid,1
51404,,Segunda Aguada,,36.5135317,-6.2770128,,,,,Europe/Madrid,1
43021,,San Juan del Puerto,,37.311898,-6.841076,,,,,Europe/Madrid,2
43015,,Niebla-Puerta del Buey,,37.3587619,-6.6812578,,,,,Europe/Madrid,2
43009,,Escacena,,37.397812,-6.39198,,,,,Europe/Madrid,2
43008,,CarriÃ³n de los CÃ©spedes,,37.368955,-6.335088,,,,,Europe/Madrid,2
43005,,BenacazÃ³n,,37.3568512,-6.2082011,,,,,Europe/Madrid,2
43012,,Villarrasa,,37.386999,-6.598819,,,,,Europe/Madrid,2
1007,,Osuna,,37.233899,-5.115026,,,,,Europe/Madrid,2
51111,,Bellavista,,37.3215188,-5.9641924,,,,,Europe/Madrid,2
1003,,Arahal,,37.268081,-5.548514,,,,,Europe/Madrid,2
1005,,Marchena,,37.334282,-5.425519,,,,,Europe/Madrid,2
42008,,Jabugo-Galaroza,,37.928243,-6.773908,,,,,Europe/Madrid,2
42020,,GibraleÃ³n,,37.36852,-6.96207,,,,,Europe/Madrid,2
42019,,Belmonte,,37.461864,-6.947533,,,,,Europe/Madrid,2
42018,,El CobujÃ³n,,37.516509,-6.953428,,,,,Europe/Madrid,2
42016,,Los Milanos,,37.586219,-6.919938,,,,,Europe/Madrid,2
42015,,CalaÃ±as,,37.652007,-6.875841,,,,,Europe/Madrid,2
42013,,El Tamujoso,,37.720339,-6.900554,,,,,Europe/Madrid,2
42012,,Valdelamusa,,37.787111,-6.873729,,,,,Europe/Madrid,2
42009,,Almonaster-Cortegana,,37.901174,-6.797372,,,,,Europe/Madrid,2
40100,,Zafra,,38.413635,-6.405083,,,,,Europe/Madrid,2
42006,,Cumbres Mayores,,38.053126,-6.631553,,,,,Europe/Madrid,2
42005,,Fregenal de la Sierra,,38.167613,-6.637909,,,,,Europe/Madrid,2
54403,,El Chorro-Caminito del Rey,,36.907335,-4.759258,,,,,Europe/Madrid,2
54517,,MÃ¡laga-Centro Alameda,,36.7159539,-4.4265335,,,,,Europe/Madrid,2
54501,,Victoria Kent,,36.7012229,-4.4544145,,,,,Europe/Madrid,1
54412,,MÃ¡laga-Los Prados,,36.6986108,-4.47815,,,,,Europe/Madrid,2
54410,,Campanillas,,36.7050436,-4.5454825,,,,,Europe/Madrid,2
54408,,CÃ¡rtama,,36.7337392,-4.6083966,,,,,Europe/Madrid,2
54407,,Aljaima,,36.7330833,-4.6645001,,,,,Europe/Madrid,2
54406,,Pizarra,,36.7641515,-4.7118313,,,,,Europe/Madrid,2
54405,,Ãlora,,36.8198747,-4.6996105,,,,,Europe/Madrid,2
54404,,Las Mellizas,,36.873306,-4.719433,,,,,Europe/Madrid,2
50413,,Alcolea de CÃ³rdoba,,37.922326,-4.694751,,,,,Europe/Madrid,2
50417,,Campus Universitario de Rabanales,,37.91256,-4.72086,,,,,Europe/Madrid,1
50501,,El HiguerÃ³n,,37.870271,-4.838942,,,,,Europe/Madrid,2
50502,,Villarrubia de CÃ³rdoba,,37.847574,-4.915339,,,,,Europe/Madrid,2
50407,,Villa del RÃ­o,,37.981331,-4.283788,,,,,Europe/Madrid,2
50403,,AndÃºjar,,38.028225,-4.066036,,,,,Europe/Madrid,2
50400,,EspelÃºy,,38.010247,-3.832726,,,,,Europe/Madrid,2
1009,,Pedrera,,37.222396,-4.893519,,,,,Europe/Madrid,2
54400,,Bobadilla,,37.037073,-4.727942,,,,,Europe/Madrid,1
56308,,GÃ¡dor,,36.951624,-2.487658,,,,,Europe/Madrid,2
56305,,GÃ©rgal,,37.108847,-2.591556,,,,,Europe/Madrid,2
